City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Alice Springs,AU,-23.7,133.8833,4.75,48,0,2.06,clear sky
116,Salalah,OM,17.0151,54.0924,26.05,89,90,2.57,overcast clouds
117,Makakilo City,US,21.3469,-158.0858,28.18,54,20,7.72,few clouds
118,Punta Arenas,CL,-53.15,-70.9167,5.06,81,40,13.38,light intensity shower rain
119,Barrow,US,71.2906,-156.7887,7.01,81,90,9.26,overcast clouds
120,Asuncion,PY,-25.3007,-57.6359,21.69,37,0,3.6,clear sky
121,Xiamen,CN,24.4798,118.0819,25.69,91,100,2.69,overcast clouds
122,Nordby,DK,55.446,8.3979,15.02,80,90,3.58,overcast clouds
123,Lata,PT,40.1629,-8.3327,21.13,85,18,1.56,few clouds
124,Kabanjahe,ID,3.1001,98.4908,16.42,95,100,1.67,overcast clouds
125,Saint George,US,37.1041,-113.5841,38.55,22,1,4.02,clear sky
126,Burns Lake,CA,54.2331,-125.7533,28.93,34,12,2.51,few clouds
127,Kahului,US,20.8947,-156.47,29.59,67,40,10.29,scattered clouds
128,Cuiluan,CN,47.72,128.648,19.58,99,100,0.85,overcast clouds
129,Luderitz,NA,-26.6481,15.1594,19.49,37,0,1.04,clear sky
130,Oktyabrskiy,RU,54.4815,53.471,21.06,46,86,1.59,overcast clouds
131,Vikulovo,RU,56.8167,70.6107,16.68,74,65,2.97,broken clouds
132,Acapulco,MX,16.8634,-99.8901,31.9,66,1,4.63,clear sky
133,Avarua,CK,-21.2078,-159.775,24.03,88,75,5.66,light rain
134,Mount Isa,AU,-20.7333,139.5,17.87,34,75,8.23,broken clouds
135,Kysyl-Syr,RU,63.8986,122.7617,15.78,54,0,2.73,clear sky
136,Dingzhou,CN,38.5131,114.9956,21.61,85,45,1.09,scattered clouds
137,Lavrentiya,RU,65.5833,-171.0,6.98,99,100,3.68,moderate rain
138,Machali,CL,-34.1833,-70.6667,21.6,24,0,3.6,clear sky
139,Finschhafen,PG,-6.6024,147.8681,25.39,82,76,2.62,broken clouds
140,Teahupoo,PF,-17.8333,-149.2667,24.98,74,90,7.04,overcast clouds
141,Brcko,BA,44.8728,18.8083,20.43,55,86,1.81,overcast clouds
142,Torbay,CA,47.6666,-52.7314,20.38,67,100,2.33,overcast clouds
143,Husavik,IS,66.0449,-17.3389,12.23,85,77,2.38,broken clouds
144,Lebyazhye,RU,55.2689,66.4947,17.18,67,74,3.25,broken clouds
145,Waddan,LY,29.1614,16.139,31.7,18,0,6.89,clear sky
146,Hobyo,SO,5.3505,48.5268,25.16,79,31,10.75,scattered clouds
147,Ixtapa,MX,20.7,-105.2,31.79,70,40,5.14,scattered clouds
148,Ilulissat,GL,69.2167,-51.1,5.57,81,99,1.35,overcast clouds
149,Bambous Virieux,MU,-20.3428,57.7575,17.9,68,1,1.16,clear sky
150,Tura,IN,25.5198,90.2201,23.36,98,99,1.6,overcast clouds
151,Petropavlovka,RU,50.6114,105.3196,14.1,90,100,2.34,light rain
152,Mishan,CN,45.55,131.8833,20.78,84,50,1.73,scattered clouds
153,Cayenne,GF,4.9333,-52.3333,29.02,76,52,0.89,broken clouds
154,Ribeira Grande,PT,38.5167,-28.7,22.98,92,44,3.52,scattered clouds
155,Sibolga,ID,1.7427,98.7792,24.53,84,99,1.37,overcast clouds
156,San Javier,ES,37.8063,-0.8374,25.55,73,20,1.79,few clouds
157,Nisia Floresta,BR,-6.0911,-35.2086,24.45,84,19,5.11,few clouds
158,Hilo,US,19.7297,-155.09,26.85,75,90,2.57,light rain
159,Hokitika,NZ,-42.7167,170.9667,8.33,82,100,3.45,light rain
160,Vardo,NO,70.3705,31.1107,8.86,87,0,2.06,clear sky
161,Yaring,TH,6.8662,101.3689,26.31,82,98,4.01,overcast clouds
162,Richards Bay,ZA,-28.783,32.0377,17.95,83,93,1.76,light rain
163,San Cristobal,VE,7.7669,-72.225,28.1,88,100,2.9,overcast clouds
164,Cidreira,BR,-30.1811,-50.2056,12.79,81,0,2.65,clear sky
165,Shakawe,BW,-18.3667,21.85,15.27,35,2,2.11,clear sky
166,Alihe,CN,50.5667,123.7167,14.07,96,94,1.12,overcast clouds
167,Meulaboh,ID,4.1363,96.1285,23.85,85,87,2.23,overcast clouds
168,Timmins,CA,48.4669,-81.3331,20.39,56,100,4.03,overcast clouds
169,Geelong,AU,-38.1471,144.3607,9.49,89,99,1.34,overcast clouds
170,Cape Town,ZA,-33.9258,18.4232,13.95,92,0,1.03,fog
171,Kodiak,US,57.79,-152.4072,12.73,82,90,2.06,overcast clouds
172,Yeppoon,AU,-23.1333,150.7333,11.88,89,1,2.54,clear sky
173,Airai,TL,-8.9266,125.4092,13.06,79,62,1.53,broken clouds
174,Doha,QA,25.2867,51.5333,35.17,75,0,1.03,clear sky
175,Necochea,AR,-38.5473,-58.7368,15.58,58,17,5.44,few clouds
176,Manono,CD,-7.3,27.4167,24.0,35,4,2.38,clear sky
177,Pitimbu,BR,-7.4706,-34.8086,23.33,84,11,6.12,few clouds
178,Svetlogorsk,BY,52.6333,29.7333,15.11,89,34,3.99,scattered clouds
179,Daru,PG,-9.0763,143.2092,24.79,71,100,4.4,overcast clouds
180,Koumac,NC,-20.5667,164.2833,18.87,63,5,1.71,clear sky
181,Aguadilla,PR,18.4275,-67.1541,28.06,85,90,0.45,overcast clouds
182,Mehamn,NO,71.0357,27.8492,8.95,86,27,0.73,scattered clouds
183,Ca Mau,VN,9.1769,105.15,25.33,90,96,2.5,overcast clouds
184,Narsaq,GL,60.9167,-46.05,12.12,81,93,2.27,overcast clouds
185,Korla,CN,41.7597,86.1469,25.61,22,100,0.83,overcast clouds
186,Penzance,GB,50.1186,-5.5371,14.87,79,53,3.23,broken clouds
187,Esperance,AU,-33.8667,121.9,11.1,83,100,4.75,light rain
188,Egvekinot,RU,66.3167,-179.1667,1.59,88,100,6.75,moderate rain
189,Constantine,DZ,36.365,6.6147,24.05,60,37,2.1,scattered clouds
190,Misratah,LY,32.3754,15.0925,29.86,56,0,4.36,clear sky
191,Liverpool,GB,53.4106,-2.9779,15.38,74,0,1.54,clear sky
192,Iwanai,JP,42.9744,140.5089,23.27,95,90,1.83,overcast clouds
193,Lazaro Cardenas,MX,17.9583,-102.2,30.46,70,19,4.34,few clouds
194,Sapele,NG,5.8941,5.6767,24.44,88,100,1.66,overcast clouds
195,Cabadiangan,PH,9.7531,122.4739,26.23,88,100,4.35,light rain
196,Azad Shahr,IR,34.7909,48.5707,21.12,36,68,2.86,broken clouds
197,Ziyang,CN,29.2497,117.8547,24.46,92,0,1.76,clear sky
198,Mahibadhoo,MV,3.7833,72.9667,27.97,72,98,2.15,overcast clouds
199,Leninskoye,KZ,41.7589,69.3864,27.96,31,19,2.07,few clouds
200,Eura,FI,61.1333,22.1333,15.41,94,100,2.03,overcast clouds
201,Kharp,RU,66.8014,65.8081,11.12,84,100,3.0,overcast clouds
202,Rameswaram,IN,9.2833,79.3,28.75,68,94,8.78,overcast clouds
203,Batemans Bay,AU,-35.7167,150.1833,12.73,87,62,3.11,broken clouds
204,Maraa,BR,-1.8333,-65.3667,29.71,52,95,0.6,overcast clouds
205,General Cepeda,MX,25.3833,-101.45,30.67,39,100,5.83,overcast clouds
206,Willowmore,ZA,-33.2926,23.4895,8.62,92,5,2.59,clear sky
207,Shelburne,CA,44.0787,-80.2041,23.71,27,50,4.58,scattered clouds
208,Port Elizabeth,ZA,-33.918,25.5701,14.16,82,90,6.17,overcast clouds
209,Noyabrsk,RU,63.1994,75.4507,15.69,70,100,2.64,overcast clouds
210,Codrington,AU,-38.2667,141.9667,5.57,94,100,4.11,light rain
211,Okha,RU,53.5739,142.9478,12.78,87,100,5.06,overcast clouds
212,Shellbrook,CA,53.2168,-106.4011,35.19,16,83,3.01,broken clouds
213,Champerico,GT,14.3,-91.9167,32.42,69,85,3.9,overcast clouds
214,Waingapu,ID,-9.6567,120.2641,23.63,87,65,3.41,broken clouds
215,Thompson,CA,55.7435,-97.8558,26.58,33,57,2.36,broken clouds
216,Mannarakkat,IN,10.9833,76.4667,25.75,97,84,1.28,broken clouds
217,Yulara,AU,-25.2406,130.9889,1.91,69,0,3.09,clear sky
218,Vyartsilya,RU,62.1764,30.693,13.03,98,100,2.98,moderate rain
219,Faanui,PF,-16.4833,-151.75,26.36,73,45,7.31,scattered clouds
220,Sirur,IN,18.8333,74.3833,22.66,85,100,8.33,overcast clouds
221,San Patricio,US,28.017,-97.5169,36.4,35,23,3.2,few clouds
222,Mogadishu,SO,2.0371,45.3438,24.48,84,80,8.0,broken clouds
223,Tromso,NO,69.6496,18.957,8.01,87,75,0.89,broken clouds
224,Carauari,BR,-4.8828,-66.8958,33.65,32,39,1.57,scattered clouds
225,Providencia,MX,28.7167,-111.5833,42.56,54,19,5.81,few clouds
226,Ushtobe,KZ,45.2514,77.9838,23.98,21,100,3.92,overcast clouds
227,Sal Rei,CV,16.1833,-22.9167,25.31,82,61,4.18,broken clouds
228,Ulladulla,AU,-35.35,150.4667,13.82,87,76,4.43,broken clouds
229,Namibe,AO,-15.1961,12.1522,20.83,82,85,0.82,overcast clouds
230,Lielvarde,LV,56.7207,24.8074,14.68,97,38,2.39,scattered clouds
231,Broome,US,42.2506,-75.833,23.63,50,1,1.79,clear sky
232,Kavieng,PG,-2.5744,150.7967,27.74,79,29,4.83,light rain
233,Gull Lake,CA,50.1001,-108.4847,33.92,17,73,7.99,broken clouds
234,Tasiilaq,GL,65.6145,-37.6368,8.09,83,100,1.25,overcast clouds
235,Mikkeli,FI,61.6886,27.2723,15.64,100,100,0.51,light intensity shower rain
236,Khatanga,RU,71.9667,102.5,17.19,64,74,4.45,broken clouds
237,Ranchuelo,CU,22.3772,-80.1489,34.98,46,99,2.46,overcast clouds
238,Emerald,AU,-23.5333,148.1667,13.52,78,7,3.66,clear sky
239,Asau,RO,46.4333,26.4,21.09,84,31,1.65,light rain
240,Krugersdorp,ZA,-26.0858,27.7752,12.89,35,0,4.1,clear sky
241,Moose Factory,CA,51.2585,-80.6094,21.99,68,75,4.63,broken clouds
242,Mehrabpur,PK,28.1085,68.0254,33.76,51,11,3.9,few clouds
243,Puksoozero,RU,62.5903,40.6066,15.5,79,100,2.72,overcast clouds
244,Imuris,MX,30.7833,-110.8667,36.54,27,16,0.47,light rain
245,Kot Diji,PK,27.3427,68.7083,31.18,61,71,6.91,broken clouds
246,Mikhaylovka,RU,50.06,43.2379,26.43,32,43,1.85,scattered clouds
247,Bethel,US,41.3712,-73.414,27.07,54,75,4.63,broken clouds
248,Tongzi,CN,28.7829,105.0877,24.52,88,0,1.3,clear sky
249,Torrijos,ES,39.9819,-4.2835,25.03,28,2,2.2,clear sky
250,Chapais,CA,49.7834,-74.8492,17.85,51,100,4.8,overcast clouds
251,La Estancia,MX,20.4167,-100.0667,22.68,45,44,2.66,scattered clouds
252,Mirnyy,RU,62.5353,113.9611,12.78,75,61,1.88,broken clouds
253,Sechura,PE,-5.5569,-80.8222,24.71,57,9,7.82,clear sky
254,Buraydah,SA,26.326,43.975,31.65,9,7,1.02,clear sky
255,Coihaique,CL,-45.5752,-72.0662,9.34,49,20,0.0,few clouds
256,Norman Wells,CA,65.282,-126.8329,31.47,25,0,3.83,clear sky
257,Porto Novo,BJ,6.4965,2.6036,24.89,88,100,2.08,overcast clouds
258,Saint-Joseph,RE,-21.3667,55.6167,19.21,67,7,1.14,clear sky
259,Khelyulya,RU,61.7333,30.6833,13.51,98,100,5.12,moderate rain
260,Bathsheba,BB,13.2167,-59.5167,29.34,74,20,4.12,few clouds
261,Goundi,TD,9.3627,17.366,22.38,95,78,1.81,broken clouds
262,Najran,SA,17.4924,44.1277,26.67,43,100,6.96,overcast clouds
263,Dezhou,CN,37.4486,116.2925,21.08,88,37,2.1,scattered clouds
264,Plouzane,FR,48.3833,-4.6167,15.18,79,75,2.06,broken clouds
265,Bilibino,RU,68.0546,166.4372,2.42,76,100,6.49,overcast clouds
266,Xichang,CN,27.8964,102.2634,17.23,73,24,0.98,few clouds
267,Aykhal,RU,66.0,111.5,17.3,58,100,3.97,overcast clouds
