City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Griffith,US,25.08,overcast clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
111,Feni,BD,24.73,overcast clouds,23.0186,91.41,"Best Inn Hotel, Restaurant, Convention"
112,Vila Franca Do Campo,PT,21.23,clear sky,37.7167,-25.4333,Pestana Bahia Praia
113,Aklavik,CA,19.47,overcast clouds,68.2191,-135.0107,Aklavik Inn
114,Arraial Do Cabo,BR,19.92,clear sky,-22.9661,-42.0278,Pousada Porto Praia
116,Salalah,OM,26.05,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
117,Makakilo City,US,28.18,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
120,Asuncion,PY,21.69,clear sky,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
121,Xiamen,CN,25.69,overcast clouds,24.4798,118.0819,Xiamen Dongchen Hotel
122,Nordby,DK,15.02,overcast clouds,55.446,8.3979,Hotel Britannia
123,Lata,PT,21.13,few clouds,40.1629,-8.3327,Casa Maquia
124,Kabanjahe,ID,16.42,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
126,Burns Lake,CA,28.93,few clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
127,Kahului,US,29.59,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
128,Cuiluan,CN,19.58,overcast clouds,47.72,128.648,Shuncheng Hotel
130,Oktyabrskiy,RU,21.06,overcast clouds,54.4815,53.471,Уязы-Тау гостиница
131,Vikulovo,RU,16.68,broken clouds,56.8167,70.6107,"Ooo ""Sistema Stroy"""
133,Avarua,CK,24.03,light rain,-21.2078,-159.775,Paradise Inn
134,Mount Isa,AU,17.87,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
136,Dingzhou,CN,21.61,scattered clouds,38.5131,114.9956,宜家时尚宾馆
138,Machali,CL,21.6,clear sky,-34.1833,-70.6667,Mining House
139,Finschhafen,PG,25.39,broken clouds,-6.6024,147.8681,Cossam Guest House
140,Teahupoo,PF,24.98,overcast clouds,-17.8333,-149.2667,Vanira Lodge
141,Brcko,BA,20.43,overcast clouds,44.8728,18.8083,Vila Bakarni
142,Torbay,CA,20.38,overcast clouds,47.6666,-52.7314,Gallows Cove
146,Hobyo,SO,25.16,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
149,Bambous Virieux,MU,17.9,clear sky,-20.3428,57.7575,Casa Tia Villa
150,Tura,IN,23.36,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
152,Mishan,CN,20.78,scattered clouds,45.55,131.8833,Mishan Hotel
153,Cayenne,GF,29.02,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
154,Ribeira Grande,PT,22.98,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
155,Sibolga,ID,24.53,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
156,San Javier,ES,25.55,few clouds,37.8063,-0.8374,Hotel Mar Menor
157,Nisia Floresta,BR,24.45,few clouds,-6.0911,-35.2086,Rancho Crepusculo
158,Hilo,US,26.85,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
161,Yaring,TH,26.31,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
162,Richards Bay,ZA,17.95,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
163,San Cristobal,VE,28.1,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
165,Shakawe,BW,15.27,clear sky,-18.3667,21.85,Ditlhapi Guest House
167,Meulaboh,ID,23.85,overcast clouds,4.1363,96.1285,Kost Pria
168,Timmins,CA,20.39,overcast clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
175,Necochea,AR,15.58,few clouds,-38.5473,-58.7368,dyd -mar Hotel
176,Manono,CD,24.0,clear sky,-7.3,27.4167,Hotel hewa bora
177,Pitimbu,BR,23.33,few clouds,-7.4706,-34.8086,Reserva do Abiaí
178,Svetlogorsk,BY,15.11,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
179,Daru,PG,24.79,overcast clouds,-9.0763,143.2092,Daru Lodge
180,Koumac,NC,18.87,clear sky,-20.5667,164.2833,Le Monitel
181,Aguadilla,PR,28.06,overcast clouds,18.4275,-67.1541,WSSM Surf House
183,Ca Mau,VN,25.33,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
185,Korla,CN,25.61,overcast clouds,41.7597,86.1469,Gulisitan Hotel
